DistanceType	StimClass	Comparison	fROI_Criterion	fROI	ID	Distance
conVals_spearman	PEN	BASE_VS_NCHANGE	from70to100	lang_LH	ss009	0.134504455887625
conVals_spearman	PEN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss009	0.235364063213269
conVals_spearman	PEN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss009	0.168611248313377
conVals_spearman	PEN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss009	0.242413736955492
conVals_spearman	GLASS	BASE_VS_NCHANGE	from70to100	lang_LH	ss009	0.143067410729643
conVals_spearman	GLASS	BASE_VS_AJCHANGE	from70to100	lang_LH	ss009	0.121254707053796
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss009	0.159813961710607
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss009	0.14874162582058
conVals_spearman	MAN	BASE_VS_NCHANGE	from70to100	lang_LH	ss010	0.240135456845454
conVals_spearman	MAN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss010	0.530879658720548
conVals_spearman	MAN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss010	0.644988270614133
conVals_spearman	MAN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss010	0.384976148394097
conVals_spearman	CAT	BASE_VS_NCHANGE	from70to100	lang_LH	ss010	0.609840730792719
conVals_spearman	CAT	BASE_VS_AJCHANGE	from70to100	lang_LH	ss010	0.536443341112241
conVals_spearman	CAT	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss010	0.445324636124738
conVals_spearman	CAT	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss010	0.422491736715311
conVals_spearman	PEN	BASE_VS_NCHANGE	from70to100	lang_LH	ss010	0.509184302384189
conVals_spearman	PEN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss010	0.389622689651332
conVals_spearman	PEN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss010	0.64302096463963
conVals_spearman	PEN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss010	0.45085687788998
conVals_spearman	GLASS	BASE_VS_NCHANGE	from70to100	lang_LH	ss010	0.411432307104626
conVals_spearman	GLASS	BASE_VS_AJCHANGE	from70to100	lang_LH	ss010	0.491469671293672
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss010	0.479195870523079
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss010	0.579146445668332
conVals_spearman	MAN	BASE_VS_NCHANGE	from70to100	lang_LH	ss011	0.270511588858188
conVals_spearman	MAN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss011	0.357815459087098
conVals_spearman	MAN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss011	0.327626526248426
conVals_spearman	MAN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss011	0.232314881001251
conVals_spearman	CAT	BASE_VS_NCHANGE	from70to100	lang_LH	ss011	0.34378537653041
conVals_spearman	CAT	BASE_VS_AJCHANGE	from70to100	lang_LH	ss011	0.210297946512499
conVals_spearman	CAT	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss011	0.340935786582744
conVals_spearman	CAT	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss011	0.380734188656498
conVals_spearman	PEN	BASE_VS_NCHANGE	from70to100	lang_LH	ss011	0.221515129303379
conVals_spearman	PEN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss011	0.197533687279868
conVals_spearman	PEN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss011	0.162555546627751
conVals_spearman	PEN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss011	0.291441370618682
conVals_spearman	GLASS	BASE_VS_NCHANGE	from70to100	lang_LH	ss011	0.228805566681287
conVals_spearman	GLASS	BASE_VS_AJCHANGE	from70to100	lang_LH	ss011	0.191232114168085
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss011	0.157556145368394
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss011	0.219200771435988
conVals_spearman	MAN	BASE_VS_NCHANGE	from70to100	lang_LH	ss012	0.337263680756931
conVals_spearman	MAN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss012	0.203722371559253
conVals_spearman	MAN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss012	0.214833127163294
conVals_spearman	MAN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss012	0.260142646609883
conVals_spearman	CAT	BASE_VS_NCHANGE	from70to100	lang_LH	ss012	0.607527940845469
conVals_spearman	CAT	BASE_VS_AJCHANGE	from70to100	lang_LH	ss012	0.399468743291927
conVals_spearman	CAT	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss012	0.320489192160967
conVals_spearman	CAT	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss012	0.298932627945247
conVals_spearman	PEN	BASE_VS_NCHANGE	from70to100	lang_LH	ss012	0.415414586094114
conVals_spearman	PEN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss012	0.289773102172504
conVals_spearman	PEN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss012	0.380086288897114
conVals_spearman	PEN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss012	0.478077418933302
conVals_spearman	GLASS	BASE_VS_NCHANGE	from70to100	lang_LH	ss012	0.376408834280444
conVals_spearman	GLASS	BASE_VS_AJCHANGE	from70to100	lang_LH	ss012	0.199097871913525
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss012	0.546631656408697
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss012	0.465505639618423
conVals_spearman	MAN	BASE_VS_NCHANGE	from70to100	lang_LH	ss013	0.47823572074378
conVals_spearman	MAN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss013	0.393999334579513
conVals_spearman	MAN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss013	0.178285891140301
conVals_spearman	MAN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss013	0.456780653130587
conVals_spearman	CAT	BASE_VS_NCHANGE	from70to100	lang_LH	ss013	0.539950803982204
